search_date,departure_date,arrival_date,departure_time,arrival_time,departure_airport,arrival_airport,flight_duration,flight_type,flight_number,available_seats,price,flight_key
2023-03-08,2023-04-03,2023-04-03,06:00,08:45,LGG,ALC,2u 45m,Direct,TB1161,10,144.99,TB~1161~ ~LGG~2023-04-03 06:00~ALC~2023-04-03 08:45~
2023-03-08,2023-04-10,2023-04-10,06:00,08:45,LGG,ALC,2u 45m,Direct,TB1161,10,129.99,TB~1161~ ~LGG~2023-04-10 06:00~ALC~2023-04-10 08:45~
2023-03-08,2023-04-17,2023-04-17,06:00,08:45,LGG,ALC,2u 45m,Direct,TB1161,10,109.99,TB~1161~ ~LGG~2023-04-17 06:00~ALC~2023-04-17 08:45~
2023-03-08,2023-04-24,2023-04-24,06:00,08:45,LGG,ALC,2u 45m,Direct,TB1161,10,99.99,TB~1161~ ~LGG~2023-04-24 06:00~ALC~2023-04-24 08:45~
2023-03-08,2023-05-01,2023-05-01,06:00,08:45,LGG,ALC,2u 45m,Direct,TB1161,10,219.99,TB~1161~ ~LGG~2023-05-01 06:00~ALC~2023-05-01 08:45~
2023-03-08,2023-05-08,2023-05-08,06:00,08:45,LGG,ALC,2u 45m,Direct,TB1161,10,169.99,TB~1161~ ~LGG~2023-05-08 06:00~ALC~2023-05-08 08:45~
2023-03-08,2023-05-15,2023-05-15,06:00,08:45,LGG,ALC,2u 45m,Direct,TB1161,10,194.99,TB~1161~ ~LGG~2023-05-15 06:00~ALC~2023-05-15 08:45~
2023-03-08,2023-05-22,2023-05-22,06:00,08:45,LGG,ALC,2u 45m,Direct,TB1161,10,139.99,TB~1161~ ~LGG~2023-05-22 06:00~ALC~2023-05-22 08:45~
2023-03-08,2023-05-29,2023-05-29,06:00,08:45,LGG,ALC,2u 45m,Direct,TB1161,10,139.99,TB~1161~ ~LGG~2023-05-29 06:00~ALC~2023-05-29 08:45~
2023-03-08,2023-06-05,2023-06-05,06:00,08:45,LGG,ALC,2u 45m,Direct,TB1161,10,149.99,TB~1161~ ~LGG~2023-06-05 06:00~ALC~2023-06-05 08:45~
2023-03-08,2023-06-12,2023-06-12,06:00,08:45,LGG,ALC,2u 45m,Direct,TB1161,10,149.99,TB~1161~ ~LGG~2023-06-12 06:00~ALC~2023-06-12 08:45~
2023-03-08,2023-06-19,2023-06-19,06:00,08:45,LGG,ALC,2u 45m,Direct,TB1161,10,139.99,TB~1161~ ~LGG~2023-06-19 06:00~ALC~2023-06-19 08:45~
2023-03-08,2023-06-26,2023-06-26,06:00,08:45,LGG,ALC,2u 45m,Direct,TB1161,10,144.99,TB~1161~ ~LGG~2023-06-26 06:00~ALC~2023-06-26 08:45~
2023-03-08,2023-07-03,2023-07-03,06:00,08:45,LGG,ALC,2u 45m,Direct,TB1161,10,144.99,TB~1161~ ~LGG~2023-07-03 06:00~ALC~2023-07-03 08:45~
2023-03-08,2023-07-10,2023-07-10,06:00,08:45,LGG,ALC,2u 45m,Direct,TB1161,10,219.99,TB~1161~ ~LGG~2023-07-10 06:00~ALC~2023-07-10 08:45~
2023-03-08,2023-07-17,2023-07-17,06:00,08:45,LGG,ALC,2u 45m,Direct,TB1161,10,219.99,TB~1161~ ~LGG~2023-07-17 06:00~ALC~2023-07-17 08:45~
2023-03-08,2023-07-24,2023-07-24,06:00,08:45,LGG,ALC,2u 45m,Direct,TB1161,10,199.99,TB~1161~ ~LGG~2023-07-24 06:00~ALC~2023-07-24 08:45~
2023-03-08,2023-07-31,2023-07-31,06:00,08:45,LGG,ALC,2u 45m,Direct,TB1161,10,179.99,TB~1161~ ~LGG~2023-07-31 06:00~ALC~2023-07-31 08:45~
2023-03-08,2023-08-07,2023-08-07,06:00,08:45,LGG,ALC,2u 45m,Direct,TB1161,10,159.99,TB~1161~ ~LGG~2023-08-07 06:00~ALC~2023-08-07 08:45~
2023-03-08,2023-08-14,2023-08-14,06:00,08:45,LGG,ALC,2u 45m,Direct,TB1161,10,134.99,TB~1161~ ~LGG~2023-08-14 06:00~ALC~2023-08-14 08:45~
2023-03-08,2023-08-21,2023-08-21,06:00,08:45,LGG,ALC,2u 45m,Direct,TB1161,10,114.99,TB~1161~ ~LGG~2023-08-21 06:00~ALC~2023-08-21 08:45~
2023-03-08,2023-08-28,2023-08-28,06:00,08:45,LGG,ALC,2u 45m,Direct,TB1161,10,81.99,TB~1161~ ~LGG~2023-08-28 06:00~ALC~2023-08-28 08:45~
2023-03-08,2023-09-04,2023-09-04,06:00,08:45,LGG,ALC,2u 45m,Direct,TB1161,10,95.99,TB~1161~ ~LGG~2023-09-04 06:00~ALC~2023-09-04 08:45~
2023-03-08,2023-09-11,2023-09-11,06:00,08:45,LGG,ALC,2u 45m,Direct,TB1161,10,85.99,TB~1161~ ~LGG~2023-09-11 06:00~ALC~2023-09-11 08:45~
2023-03-08,2023-09-18,2023-09-18,06:00,08:45,LGG,ALC,2u 45m,Direct,TB1161,10,99.99,TB~1161~ ~LGG~2023-09-18 06:00~ALC~2023-09-18 08:45~
2023-03-08,2023-09-25,2023-09-25,06:00,08:45,LGG,ALC,2u 45m,Direct,TB1161,10,75.99,TB~1161~ ~LGG~2023-09-25 06:00~ALC~2023-09-25 08:45~
